Customer_ID,Campaign_ID,Response,ClickThroughRate,EngagementFrequency
103994,49,No,0.57,7
1264804,65,No,0.04,5
9762894,13,No,0.82,6
6573194,32,No,0.75,9
9337804,37,No,0.04,4
8042094,70,Yes,0.04,6
5921304,59,No,0.95,2
1902504,37,Yes,0.19,5
3446404,25,Yes,0.86,2
8187194,54,Yes,0.27,7
7121704,16,Yes,0.63,5
5554804,49,No,0.8,7
8701604,23,No,0.9,4
8735404,35,Yes,0.59,4
5547994,62,Yes,0.15,8
7416804,32,Yes,0.37,9
5746104,22,Yes,0.95,4
4109404,9,No,0.87,8
7846504,28,No,0.51,7
8634194,14,No,0.96,9
1141504,54,Yes,0.77,9
9683704,1,Yes,0.27,1
1133894,39,No,0.64,7
4268304,54,Yes,0.47,5
4638404,55,No,0.42,4
4586794,24,Yes,0.04,9
1129804,28,No,0.74,6
1566094,62,No,0.52,4
9512704,44,No,0.81,4
4608404,28,Yes,0.45,8
5558504,10,No,0.6,8
2801604,34,Yes,0.99,3
2276194,29,No,0.28,9
8471804,45,No,0.94,5
1546504,11,Yes,0.83,4
7934894,27,No,0.49,8
4955194,70,No,0.31,7
2268504,37,No,0.33,6
9978704,1,Yes,0.15,7
2476194,57,Yes,0.37,5
1385404,61,Yes,0.69,8
4952304,44,No,0.79,6
2757204,73,Yes,0.75,4
9690604,14,Yes,0.26,6
1123804,2,Yes,0.8,2
4670404,36,Yes,0.65,3
7453004,12,Yes,0.01,6
9939194,71,No,0.04,5
736194,60,Yes,0.78,4
5266504,48,Yes,0.51,7
3267304,48,No,0.26,1
6115204,53,No,0.27,3
1239804,39,No,0.47,9
8530804,71,Yes,0.88,3
8695694,43,Yes,0.32,9
1722404,57,Yes,0.33,2
4985504,7,Yes,0.27,2
3622004,36,No,0.23,9
4897194,66,Yes,0.47,7
9432094,29,No,0.08,2
3057994,50,Yes,0.94,7
4141504,40,Yes,0.51,4
5230504,70,No,0.38,4
7851004,38,Yes,0.87,6
6231104,53,No,0.6,2
8932804,4,Yes,0.63,7
5408804,35,No,0.87,7
6456104,38,Yes,0.38,5
8752004,34,Yes,0.24,7
6667704,39,Yes,0.64,7
7343404,57,No,0.44,3
6601604,45,No,0.37,8
8571104,46,Yes,0.67,3
3838804,73,Yes,0.35,4
9119004,14,No,0.51,4
4066094,36,No,0.3,6
3264004,67,Yes,0.03,2
7319504,48,Yes,0.08,6
5112404,50,No,0.24,8
9334404,57,No,0.56,3
5936004,69,Yes,0.18,3
8180194,49,Yes,0.58,2
9177704,1,No,0.13,3
5947304,64,Yes,0.55,1
1430504,2,No,0.42,4
2863704,45,No,0.14,6
4759194,9,No,0.01,7
4313994,33,Yes,0.32,8
8066094,71,Yes,0.65,7
5642894,63,No,0.76,2
1708404,22,No,0.18,9
3604504,72,No,0.51,5
7119994,54,Yes,0.84,1
1277994,27,Yes,0.17,3
153504,28,Yes,0.57,9
9134404,61,Yes,0.52,6
4335304,22,No,0.78,8
6799804,50,No,0.23,3
925104,30,Yes,0.36,9
3319404,55,Yes,0.39,7
6265794,55,No,0.29,7
7663004,64,Yes,0.91,2
7326194,63,No,0,5
9215704,32,No,0.5,9
7067694,56,No,0.07,7
9923504,64,Yes,0.39,5
5612804,49,Yes,0.58,8
3724894,33,Yes,0.58,9
4971504,7,No,0.23,3
7784504,35,No,0.18,2
3238804,50,No,0.46,9
2052894,72,Yes,0.22,1
8895504,27,No,0.81,3
6562804,60,Yes,0.76,5
2705194,3,No,0.06,2
4991194,12,No,0.4,6
9677404,37,No,0.34,9
4835994,44,Yes,0.83,4
5521304,35,Yes,0.72,2
963604,59,Yes,0.45,7
393994,21,No,0.72,8
7921704,52,Yes,0.66,7
8895504,14,No,0.24,2
963604,66,Yes,0.81,5
450804,7,No,0.13,2
9554304,59,No,0.49,6
7015804,23,No,0.42,6
1663704,30,Yes,0.37,1
5657994,27,No,0.83,3
551804,15,No,0.88,2
8437704,55,No,0.1,3
8478504,67,Yes,0.3,8
3619304,53,Yes,0.18,9
877404,51,Yes,0.68,2
5746204,30,No,0.67,7
1254804,57,Yes,0.17,7
4611704,63,Yes,0.2,4
9689304,10,Yes,0.69,2
163704,33,Yes,0.89,2
3496904,3,Yes,0.24,1
292404,33,Yes,0.93,3
49094,42,No,0.53,4
5365894,54,No,0.15,3
4135404,64,Yes,0.17,6
5135304,68,Yes,0.55,5
308704,55,No,0.38,5
5652804,15,Yes,0.36,1
3024704,46,Yes,0.44,8
4458804,15,Yes,0.02,7
434094,9,No,0.23,3
933804,17,Yes,0.15,7
2836404,3,Yes,0.36,2
5645304,60,No,0.22,7
8650094,67,No,0.69,1
336504,10,No,0.94,6
8410894,31,Yes,0.96,6
9593504,45,Yes,0.65,7
2093504,4,No,0.32,8
4601094,3,Yes,0.36,4
3722304,30,No,0.25,6
6864304,29,No,0.38,5
9343404,10,Yes,0.06,5
1613804,8,No,0.78,1
5547994,5,No,0.91,9
1337794,6,No,0.16,7
4401404,55,No,0.74,2
8746304,64,No,0.95,9
1461804,8,Yes,0.79,5
1875504,64,No,0.21,7
7496604,1,Yes,0.69,1
7283504,63,No,0.11,5
737004,68,No,0.92,3
8705804,24,Yes,0.43,8
8754004,4,No,0.46,4
2243504,20,No,0.76,9
3584504,59,No,0.51,5
5720804,35,Yes,0.79,9
6133804,3,No,0.84,9
7832304,45,Yes,0.75,4
9216304,58,Yes,0.5,8
2769004,64,Yes,0.9,8
3609904,18,Yes,0.63,1
3897004,46,Yes,0.28,9
3222804,19,Yes,0.45,4
9905894,65,No,0.82,8
4037904,37,Yes,0.99,7
9866194,47,No,0.13,1
4983194,41,Yes,0.75,7
4671704,67,Yes,0.97,4
4530194,43,Yes,0.24,5
2074804,70,No,0.64,3
3083704,62,No,0.86,2
626304,28,No,0.85,7
635404,73,No,0.78,2
2394404,36,No,0.98,4
1870994,43,No,0.13,4
8653004,49,No,0.57,9
56504,59,No,0.66,4
2982994,14,No,0.18,5
9965194,64,Yes,0.15,8
2115804,37,Yes,0.12,1
3008194,4,Yes,0.1,9
2708404,69,Yes,0.02,1
4180404,36,Yes,0.76,9
7902504,62,No,0.86,4
6756504,71,No,0.54,8
8052994,57,Yes,0.16,9
5027704,48,No,0.9,5
1054904,70,Yes,0.7,6
9321194,9,No,0.09,9
270004,1,No,0.06,7
8355304,33,Yes,0.99,2
8131304,59,Yes,0.37,5
7647094,3,Yes,0.19,1
3785404,8,No,0.75,7
4243794,12,Yes,0.74,7
1175504,32,Yes,0.46,5
6454504,54,No,0.25,1
2589894,25,Yes,0.43,1
1683404,18,Yes,0.9,3
882304,59,No,0.42,3
7237004,17,Yes,0.64,2
4338504,54,No,0.38,6
3967404,39,No,0.9,8
9247304,10,No,0.54,3
1141504,23,No,0.67,1
3945694,11,Yes,0.49,7
9546204,55,Yes,0.66,6
5456194,64,Yes,0.61,1
9443504,59,No,0.36,9
7352904,57,No,0.78,7
6776804,35,Yes,0.39,5
7851504,29,Yes,0.55,6
447794,67,Yes,0.56,3
647704,31,Yes,0.68,4
3532094,63,Yes,0.26,5
3698004,11,Yes,0.24,2
