Customer_ID,Age,Gender,Occupation,Income_Level,Location,City,Family_Size
2194,45,Unknown,Self-employed,High,Victoria,Melbourne,2
3004,33,Unknown,Technician,Medium,Tasmania,Launceston,1
6704,38,Unknown,Service Worker,Low,Tasmania,Launceston,3
7804,59,Unknown,Clerical Worker,Medium,Victoria,Melbourne,3
8194,21,Unknown,Professional,High,South Australia,Adelaide,6
15894,24,Male,Service Worker,Low,Queensland,Cairns,5
16804,46,Unknown,Professional,High,Victoria,Geelong,1
17804,35,Unknown,Sales Worker,Medium,Queensland,Gold Coast,3
19994,71,Unknown,Professional,High,Australian Capital Territory,Canberra,4
20504,43,Unknown,Professional,High,New South Wales,Newcastle,4
29504,27,Unknown,Self-employed,High,Tasmania,Hobart,6
29894,27,Unknown,Laborer,Low,Victoria,Ballarat,1
31104,46,Unknown,Self-employed,High,New South Wales,Newcastle,2
47704,40,Unknown,Sales Worker,Medium,South Australia,Whyalla,5
49094,21,Unknown,Clerical Worker,Medium,New South Wales,Newcastle,5
53804,50,Male,Self-employed,High,Queensland,Gold Coast,5
56104,27,Unknown,Laborer,Low,New South Wales,Sydney,5
56504,29,Unknown,Clerical Worker,Medium,South Australia,Adelaide,4
57304,29,Unknown,Manager,High,South Australia,Adelaide,2
60304,36,Unknown,Manager,High,South Australia,Mount Gambier,5
62604,29,Unknown,Machinery Operator,Low,Northern Territory,Katherine,1
62904,67,Unknown,Clerical Worker,Medium,Queensland,Cairns,4
67194,20,Unknown,Sales Worker,Medium,New South Wales,Wollongong,5
71894,26,Unknown,Manager,High,Queensland,Gold Coast,6
73304,31,Unknown,Service Worker,Low,South Australia,Whyalla,5
74304,35,Unknown,Self-employed,High,New South Wales,Newcastle,6
78704,28,Unknown,Service Worker,Low,Tasmania,Hobart,1
80904,30,Unknown,Machinery Operator,Low,Queensland,Brisbane,3
87704,34,Unknown,Manager,High,Tasmania,Hobart,6
93994,24,Unknown,Machinery Operator,Low,Australian Capital Territory,Canberra,3
97404,55,Unknown,Sales Worker,Medium,New South Wales,Newcastle,4
98404,22,Unknown,Service Worker,Low,New South Wales,Sydney,2
99794,60,Unknown,Machinery Operator,Low,New South Wales,Newcastle,6
103404,45,Unknown,Professional,High,South Australia,Adelaide,3
103994,33,Unknown,Community Worker,Medium,Queensland,Cairns,4
106694,28,Unknown,Clerical Worker,Medium,Tasmania,Devonport,4
115894,36,Unknown,Laborer,Low,Tasmania,Devonport,1
117704,57,Unknown,Professional,High,Australian Capital Territory,Canberra,2
118704,27,Unknown,Professional,High,Victoria,Geelong,5
122104,39,Unknown,Service Worker,Low,Northern Territory,Alice Springs,2
128794,28,Unknown,Sales Worker,Medium,Victoria,Ballarat,4
134094,59,Unknown,Laborer,Low,Australian Capital Territory,Canberra,6
135194,23,Unknown,Sales Worker,Medium,Australian Capital Territory,Canberra,5
137794,38,Unknown,Laborer,Low,Western Australia,Perth,1
138404,76,Unknown,Technician,Medium,Northern Territory,Darwin,4
138804,21,Unknown,Community Worker,Medium,New South Wales,Sydney,4
138904,23,Unknown,Professional,High,Queensland,Gold Coast,2
144894,27,Unknown,Laborer,Low,Tasmania,Launceston,2
147004,21,Unknown,Sales Worker,Medium,Northern Territory,Alice Springs,5
151804,42,Unknown,Clerical Worker,Medium,Queensland,Gold Coast,4
152994,25,Unknown,Clerical Worker,Medium,Tasmania,Hobart,1
153504,32,Unknown,Manager,High,Victoria,Geelong,1
154004,26,Unknown,Community Worker,Medium,Western Australia,Bunbury,5
155404,40,Female,Service Worker,Low,Tasmania,Devonport,5
156504,38,Unknown,Technician,Medium,Western Australia,Perth,5
157094,44,Unknown,Manager,High,Tasmania,Hobart,6
163704,32,Unknown,Community Worker,Medium,Australian Capital Territory,Canberra,3
164504,64,Unknown,Sales Worker,Medium,Northern Territory,Darwin,5
166094,72,Unknown,Self-employed,High,Western Australia,Fremantle,2
168504,28,Unknown,Community Worker,Medium,South Australia,Mount Gambier,6
170094,39,Unknown,Laborer,Low,Tasmania,Launceston,3
170404,51,Unknown,Sales Worker,Medium,South Australia,Mount Gambier,2
174904,24,Unknown,Machinery Operator,Low,Victoria,Ballarat,6
183994,27,Unknown,Manager,High,Tasmania,Devonport,4
189794,50,Unknown,Machinery Operator,Low,Queensland,Cairns,1
192404,33,Unknown,Self-employed,High,Victoria,Geelong,4
193994,26,Female,Manager,High,Tasmania,Hobart,5
194404,28,Unknown,Machinery Operator,Low,Victoria,Melbourne,1
