Customer_ID,Device,GameGenre,SessionCount,AverageSessionLength,SpendingSegment,InAppPurchaseAmount,FirstPurchaseDaysAfterInstall,PaymentMethod,LastPurchaseDate
1619004,Android,Role Playing,9,7.13,Minnow,1.15,20,Gift Card,8/3/2025
1619994,iOS,Fighting,8,6.78,Minnow,11.86,21,Credit Card,13/3/2025
1622404,iOS,Sports,13,10.93,Minnow,6.95,13,Credit Card,31/7/2025
1624604,iOS,Sandbox,11,23.26,Minnow,18.39,29,Paypal,13/8/2025
1624894,iOS,MMORPG,14,23.4,Minnow,19.05,16,Carrier Billing,11/5/2025
1637004,Android,Simulation,18,17.07,Minnow,,,,
1647804,Android,Adventure,10,28.48,Minnow,13.78,5,Credit Card,18/1/2025
1651894,Android,MOBA,10,30.18,Dolphin,64.16,25,Gift Card,28/4/2025
1652904,iOS,Fighting,15,6.06,Minnow,15.49,24,Gift Card,10/7/2025
1656204,iOS,Role Playing,8,34.99,Minnow,8.13,20,Carrier Billing,18/3/2025
1657994,Android,Sandbox,12,26.15,Minnow,4.74,7,Gift Card,1/1/2025
1660304,iOS,Battle Royale,13,33.82,Dolphin,129.25,27,Paypal,29/6/2025
1663704,iOS,Battle Royale,6,15.7,Minnow,5.95,18,Carrier Billing,25/1/2025
1670094,Android,Role Playing,11,15.97,Minnow,6.42,25,Carrier Billing,17/5/2025
1670304,Android,Sandbox,17,20.29,Minnow,2.73,3,Carrier Billing,10/8/2025
1671004,Android,Card,12,32.92,Minnow,0.57,28,Google Pay,25/5/2025
1673704,Android,Battle Royale,13,21.45,Minnow,6.45,17,Apple Pay,14/1/2025
1677194,iOS,Racing,10,16.33,Minnow,18.69,8,Credit Card,15/2/2025
1682504,Android,Role Playing,10,13.78,Dolphin,214.54,9,Google Pay,4/8/2025
1683404,Android,Casual,7,15.3,Minnow,19.13,16,Credit Card,23/2/2025
1692994,iOS,Strategy,9,12.46,Dolphin,94.47,20,Debit Card,6/3/2025
1693994,iOS,Sandbox,11,13.69,Minnow,10.45,19,Google Pay,12/1/2025
1694404,iOS,Puzzle,15,18.22,Minnow,14.77,16,Debit Card,1/3/2025
1696304,Android,Strategy,9,17.62,Minnow,11.86,15,Paypal,29/4/2025
1708404,Android,Card,11,21.93,Minnow,5.79,28,Carrier Billing,8/8/2025
1719094,Android,Sandbox,7,16.56,Minnow,19.53,2,Gift Card,5/2/2025
1719504,iOS,MOBA,8,6.65,Minnow,14.1,1,Debit Card,14/7/2025
1722404,Android,Battle Royale,9,20.3,Minnow,7.22,8,Gift Card,9/6/2025
1724404,iOS,Adventure,12,10.69,Minnow,14.4,4,Paypal,22/2/2025
