Customer_ID,Donation_ID,DonationDate,DonationEndDate,DonationAmount,Product,Channel_Pay
1030004,12812642.3,23/8/2025,23/8/2025,10,Membership,PayPal
1030004,12812911.3,23/8/2025,,50,Membership_TopUp,Credit Card
1518004,12812931.3,23/8/2025,23/8/2025,10,Membership,Mobile Payment
4267204,1264831.1,23/8/2025,,48,Membership,Online Banking
4267204,1264833.1,23/8/2025,,48,Membership,Cash Payment
7742094,1264825.1,23/8/2025,,48,Membership,Credit Card
9017904,12812405.3,22/8/2025,22/8/2025,10,Membership,Cryptocurrency
9017904,12812280.3,22/8/2025,,45,Membership_TopUp,Cash Payment
657204,1264751.1,22/8/2025,,48,Membership,Cryptocurrency
1557204,1264742.1,22/8/2025,,48,Membership,Online Banking
2757204,1264713.1,22/8/2025,,48,Membership,Cash Payment
3657204,1264748.1,22/8/2025,,48,Membership,Debit Card
1457204,1264755.1,22/8/2025,,48,Membership,PayPal
9657204,1264710.1,22/8/2025,,48,Membership,Debit Card
1872604,12810914.3,21/8/2025,21/8/2025,10,Membership,Online Banking
2126404,12811500.3,21/8/2025,21/8/2025,10,Membership,Bank Transfer
3733804,12811209.3,21/8/2025,,10,General_Donation,Debit Card
3733804,12811257.3,21/8/2025,,10,General_Donation,Bank Transfer
5664504,12810738.3,21/8/2025,21/8/2025,10,Membership,Cryptocurrency
7723804,12811556.3,21/8/2025,21/8/2025,10,Membership,Credit Card
7723804,12811359.3,21/8/2025,,20,Membership_TopUp,Mobile Payment
9417204,1264693.1,21/8/2025,,48,Membership,Online Banking
7396204,1264689.1,21/8/2025,21/8/2025,48,Membership,Cash Payment
2417204,1264692.1,21/8/2025,,48,Membership,Cryptocurrency
806804,12810409.3,20/8/2025,20/8/2025,10,Membership,Debit Card
1656204,1264670.1,20/8/2025,,48,Membership,Cash Payment
1656204,1264669.1,20/8/2025,,48,Membership,Debit Card
1875504,12810281.3,20/8/2025,20/8/2025,10,Membership,Cryptocurrency
1875504,12809929.3,20/8/2025,,5,Membership_TopUp,Cash Payment
3302604,12809985.3,20/8/2025,20/8/2025,10,Membership,Online Banking
3346504,12810381.3,20/8/2025,20/8/2025,10,Membership,Online Banking
3505894,12810298.3,20/8/2025,20/8/2025,10,Membership,Online Banking
3876194,12810087.3,20/8/2025,20/8/2025,10,Membership,PayPal
4423804,12810280.3,20/8/2025,20/8/2025,10,Membership,Cash Payment
5430504,12810469.3,20/8/2025,20/8/2025,10,Membership,Cash Payment
6377404,12810169.3,20/8/2025,20/8/2025,10,Membership,Cash Payment
6862994,12810214.3,20/8/2025,20/8/2025,10,Membership,Bank Transfer
7656204,1264656.1,20/8/2025,,48,Membership,Credit Card
7656204,1264654.1,20/8/2025,,48,Membership,Online Banking
7656204,1264662.1,20/8/2025,,48,Membership,Bank Transfer
7656204,1264650.1,20/8/2025,,48,Membership,Mobile Payment
7656204,1264657.1,20/8/2025,,48,Membership,Cash Payment
7656204,1264664.1,20/8/2025,,48,Membership,Debit Card
7656204,1264655.1,20/8/2025,,48,Membership,Cryptocurrency
313804,12809557.3,19/8/2025,19/8/2025,10,Membership,Bank Transfer
691704,12809432.3,19/8/2025,19/8/2025,10,Membership,Mobile Payment
790604,12809348.3,19/8/2025,,45,Membership_TopUp,Bank Transfer
790604,12808870.3,19/8/2025,19/8/2025,10,Membership,Cash Payment
1732304,12809209.3,19/8/2025,19/8/2025,10,Membership,Online Banking
1847994,12809429.3,19/8/2025,19/8/2025,10,Membership,Cash Payment
4057704,12809368.3,19/8/2025,19/8/2025,10,Membership,Cryptocurrency
4111804,12809106.3,19/8/2025,19/8/2025,10,Membership,Mobile Payment
4733404,12809196.3,19/8/2025,19/8/2025,10,Membership,Mobile Payment
4733404,12809324.3,19/8/2025,,10,Membership_TopUp,Debit Card
4910304,12809623.3,19/8/2025,19/8/2025,10,Membership,Cash Payment
4910304,12809641.3,19/8/2025,,10,Membership_TopUp,Mobile Payment
5571504,12809229.3,19/8/2025,19/8/2025,10,Membership,PayPal
5573194,12809667.3,19/8/2025,19/8/2025,10,Membership,Online Banking
5926804,12809296.3,19/8/2025,19/8/2025,10,Membership,Online Banking
5926804,12809725.3,19/8/2025,,45,Membership_TopUp,Cash Payment
5945304,12809320.3,19/8/2025,,10,Membership_TopUp,Cash Payment
5945304,12808921.3,19/8/2025,19/8/2025,10,Membership,Cryptocurrency
6538804,12809740.3,19/8/2025,19/8/2025,10,Membership,Debit Card
6538804,12809459.3,19/8/2025,,45,Membership_TopUp,Cash Payment
7234804,12809171.3,19/8/2025,19/8/2025,10,Membership,Credit Card
7390994,12809430.3,19/8/2025,,20,Membership_TopUp,Debit Card
7390994,12808874.3,19/8/2025,19/8/2025,10,Membership,Mobile Payment
456204,1264642.1,19/8/2025,,48,Membership,Bank Transfer
4356204,1264635.1,19/8/2025,,48,Membership,Credit Card
2456204,1264632.1,19/8/2025,,48,Membership,Cryptocurrency
794804,12807995.3,18/8/2025,18/8/2025,10,Membership,Cash Payment
830504,12806551.3,18/8/2025,18/8/2025,10,Membership,Credit Card
854504,12807656.3,18/8/2025,,20,Membership_TopUp,Debit Card
854504,12807771.3,18/8/2025,18/8/2025,10,Membership,Bank Transfer
1245404,12808332.3,18/8/2025,,5,Membership_TopUp,Debit Card
1593604,12807450.3,18/8/2025,18/8/2025,10,Membership,Credit Card
1598304,12806494.3,18/8/2025,18/8/2025,10,Membership,Mobile Payment
1866094,12808273.3,18/8/2025,18/8/2025,10,Membership,PayPal
1911304,12806953.3,18/8/2025,,10,Membership_TopUp,PayPal
1911304,12808411.3,18/8/2025,18/8/2025,10,Membership,Credit Card
2796404,12807834.3,18/8/2025,18/8/2025,10,Membership,Credit Card
2909404,12805749.3,18/8/2025,18/8/2025,10,Membership,PayPal
3722304,12808664.3,18/8/2025,18/8/2025,10,Membership,PayPal
3810504,12806753.3,18/8/2025,18/8/2025,10,Membership,Online Banking
3929504,12806998.3,18/8/2025,18/8/2025,10,Membership,PayPal
4134804,12806693.3,18/8/2025,18/8/2025,10,Membership,Cash Payment
4147304,12805429.3,18/8/2025,18/8/2025,10,Membership,Cryptocurrency
4147304,12805443.3,18/8/2025,,45,Membership_TopUp,Cash Payment
4463704,12807605.3,18/8/2025,18/8/2025,10,Membership,PayPal
4593994,12808770.3,18/8/2025,18/8/2025,10,Membership,PayPal
4647704,12805707.3,18/8/2025,18/8/2025,10,Membership,Online Banking
4752194,12805273.3,18/8/2025,18/8/2025,10,Membership,Bank Transfer
5029704,12807923.3,18/8/2025,18/8/2025,10,Membership,Mobile Payment
5191704,12807009.3,18/8/2025,,5,Membership_TopUp,Bank Transfer
5191704,12805356.3,18/8/2025,18/8/2025,10,Membership,Debit Card
5213404,12807418.3,18/8/2025,18/8/2025,10,Membership,Debit Card
5333094,12808349.3,18/8/2025,18/8/2025,10,Membership,Mobile Payment
5624804,12811155.3,18/8/2025,,35,Membership_TopUp,Cash Payment
5624804,12811449.3,18/8/2025,21/8/2025,10,Membership,Debit Card
6013404,12808333.3,18/8/2025,18/8/2025,10,Membership,Bank Transfer
6363504,12806793.3,18/8/2025,18/8/2025,10,Membership,Credit Card
6363504,12808026.3,18/8/2025,,110,Membership_TopUp,Debit Card
6701404,12806030.3,18/8/2025,18/8/2025,10,Membership,Credit Card
7555404,12808363.3,18/8/2025,18/8/2025,10,Membership,PayPal
7837404,12806823.3,18/8/2025,18/8/2025,10,Membership,Mobile Payment
8073304,12807022.3,18/8/2025,18/8/2025,10,Membership,Cryptocurrency
8207404,12807674.3,18/8/2025,18/8/2025,10,Membership,Cryptocurrency
8207404,12807248.3,18/8/2025,,50,Membership_TopUp,Online Banking
8326504,12806070.3,18/8/2025,18/8/2025,10,Membership,PayPal
8355304,12805482.3,18/8/2025,18/8/2025,10,Membership,Cryptocurrency
8387404,12805416.3,18/8/2025,18/8/2025,10,Membership,Mobile Payment
8455894,12807290.3,18/8/2025,18/8/2025,10,Membership,Bank Transfer
8642094,12806357.3,18/8/2025,,10,Membership_TopUp,Bank Transfer
8642094,12805858.3,18/8/2025,18/8/2025,10,Membership,Online Banking
8701604,12807465.3,18/8/2025,18/8/2025,10,Membership,Cryptocurrency
8899404,12812223.3,18/8/2025,,20,Membership_TopUp,Cash Payment
8899404,12811923.3,18/8/2025,22/8/2025,10,Membership,Bank Transfer
9824604,12807626.3,18/8/2025,18/8/2025,10,Membership,Online Banking
8056204,1264613.1,18/8/2025,,48,Membership,Bank Transfer
9946204,1264612.1,18/8/2025,,48,Membership,Credit Card
5846204,1264606.1,18/8/2025,,48,Membership,Mobile Payment
546204,1264580.1,17/8/2025,,48,Membership,Cryptocurrency
546204,1264515.1,17/8/2025,,48,Membership,Debit Card
1159004,12804901.3,17/8/2025,,20,Membership_TopUp,Bank Transfer
1159004,12805037.3,17/8/2025,17/8/2025,10,Membership,Cryptocurrency
3646204,1264567.1,17/8/2025,,48,Membership,Cryptocurrency
3646204,1264518.1,17/8/2025,,48,Membership,Debit Card
3646204,1264572.1,17/8/2025,,12,General_Donation,Debit Card
3646204,1264495.1,17/8/2025,,48,Membership,Cash Payment
4611804,12805106.3,17/8/2025,,110,General_Donation,PayPal
5746204,1264484.1,17/8/2025,,48,Membership,Bank Transfer
5746204,1264512.1,17/8/2025,,48,Membership,Mobile Payment
9546204,1264579.1,17/8/2025,,48,Membership,PayPal
9546204,1264505.1,17/8/2025,,12,General_Donation,Mobile Payment
6446204,1264521.1,17/8/2025,,48,Membership,Online Banking
5819994,1264436.1,16/8/2025,,48,Membership,Cash Payment
7072604,12804240.3,16/8/2025,16/8/2025,10,Membership,Cryptocurrency
6162904,12803785.3,15/8/2025,,45,Membership_TopUp,Bank Transfer
6162904,12803568.3,15/8/2025,15/8/2025,10,Membership,Cryptocurrency
