customer_id,gender,income_level,location,last_activity_date
866504,Unknown,High,Queensland,1900-01-01
1251894,Unknown,Medium,Western Australia,1900-01-01
1571104,Unknown,High,Northern Territory,1900-01-01
961894,Unknown,Medium,Victoria,1900-01-01
1337794,Unknown,Medium,South Australia,1900-01-01
137794,Unknown,Low,Western Australia,1900-01-01
4933904,Unknown,Low,Western Australia,1900-01-01
1601894,Unknown,Low,New South Wales,1900-01-01
726194,Unknown,Low,Queensland,1900-01-01
485694,Unknown,Medium,New South Wales,1900-01-01
549894,Unknown,Low,Queensland,1900-01-01
434094,Unknown,Low,South Australia,1900-01-01
265194,Unknown,Medium,South Australia,1900-01-01
15894,Male,Low,Queensland,1900-01-01
144894,Unknown,Low,Tasmania,1900-01-01
1062194,Unknown,Low,South Australia,1900-01-01
655794,Female,Low,Victoria,1900-01-01
147004,Unknown,Medium,Northern Territory,1900-01-01
1566094,Unknown,Low,Tasmania,1900-01-01
1166094,Unknown,Low,Victoria,1900-01-01
1460894,Unknown,Low,Queensland,1900-01-01
1447094,Male,Low,Australian Capital Territory,1900-01-01
451894,Unknown,Medium,Victoria,1900-01-01
1335894,Unknown,Medium,Australian Capital Territory,1900-01-01
1198694,Male,Low,Western Australia,1900-01-01
1466094,Unknown,Low,Australian Capital Territory,1900-01-01
1455794,Unknown,Low,South Australia,1900-01-01
8268504,Unknown,Low,Queensland,1900-01-01
189794,Unknown,Low,Queensland,1900-01-01
734894,Unknown,Low,Australian Capital Territory,1900-01-01
337794,Unknown,Low,Tasmania,1900-01-01
582894,Unknown,Low,Tasmania,1900-01-01
1262604,Unknown,Low,Tasmania,1900-01-01
993994,Unknown,Low,Tasmania,1900-01-01
115894,Unknown,Low,Tasmania,1900-01-01
739994,Unknown,Low,Australian Capital Territory,1900-01-01
747794,Unknown,High,South Australia,1900-01-01
93994,Unknown,Low,Australian Capital Territory,1900-01-01
155404,Female,Low,Tasmania,1900-01-01
449194,Unknown,High,New South Wales,1900-01-01
935994,Unknown,Low,Northern Territory,1900-01-01
248194,Unknown,High,Western Australia,1900-01-01
990094,Unknown,High,Western Australia,1900-01-01
917894,Unknown,High,Western Australia,1900-01-01
1045304,Unknown,High,New South Wales,1900-01-01
798694,Unknown,Low,Western Australia,1900-01-01
1112704,Unknown,Low,Western Australia,1900-01-01
637304,Unknown,Medium,Queensland,1900-01-01
2734894,Unknown,High,New South Wales,1900-01-01
6042994,Unknown,Low,Western Australia,1900-01-01
3697704,Unknown,Low,Queensland,1900-01-01
795694,Unknown,Low,Queensland,1900-01-01
2403704,Unknown,Low,Queensland,1900-01-01
9015894,Unknown,Medium,Australian Capital Territory,1900-01-01
1236194,Unknown,Medium,Western Australia,1900-01-01
1795694,Unknown,Low,Western Australia,1900-01-01
805204,Unknown,Medium,Tasmania,1900-01-01
1535994,Unknown,Low,Western Australia,1900-01-01
757194,Male,Low,Victoria,1900-01-01
29894,Unknown,Low,Victoria,1900-01-01
156504,Unknown,Medium,Western Australia,1900-01-01
2449894,Unknown,High,Victoria,1900-01-01
99794,Unknown,Low,New South Wales,1900-01-01
9855894,Unknown,Medium,Western Australia,1900-01-01
304204,Unknown,Medium,Australian Capital Territory,1900-01-01
711094,Unknown,Low,New South Wales,1900-01-01
457994,Unknown,Low,Western Australia,1900-01-01
1266094,Unknown,Low,New South Wales,1900-01-01
6259794,Unknown,Medium,New South Wales,1900-01-01
1329894,Unknown,Low,New South Wales,1900-01-01
1140704,Unknown,Medium,New South Wales,1900-01-01
224894,Unknown,High,Victoria,1900-01-01
730504,Unknown,High,Northern Territory,1900-01-01
1415894,Unknown,High,Victoria,1900-01-01
472894,Unknown,Medium,South Australia,1900-01-01
455194,Unknown,Medium,New South Wales,1900-01-01
6041894,Unknown,Medium,Western Australia,1900-01-01
633894,Unknown,Low,Victoria,1900-01-01
2323194,Unknown,High,Northern Territory,1900-01-01
824604,Unknown,Medium,Tasmania,1900-01-01
106694,Unknown,Medium,Tasmania,1900-01-01
1347804,Unknown,High,Queensland,1900-01-01
1159194,Unknown,Medium,South Australia,1900-01-01
239704,Unknown,Low,New South Wales,1900-01-01
240904,Unknown,High,Western Australia,1900-01-01
270004,Unknown,Low,New South Wales,1900-01-01
934094,Unknown,Medium,Victoria,1900-01-01
9442094,Unknown,Medium,Tasmania,1900-01-01
4656104,Unknown,Medium,Western Australia,1900-01-01
1009994,Unknown,Low,New South Wales,1900-01-01
366094,Female,Low,New South Wales,1900-01-01
1119004,Unknown,Medium,Western Australia,1900-01-01
259704,Unknown,High,Queensland,1900-01-01
1395694,Unknown,High,Western Australia,1900-01-01
696604,Unknown,Medium,Tasmania,1900-01-01
1556194,Unknown,High,Tasmania,1900-01-01
1149094,Unknown,Medium,Western Australia,1900-01-01
733094,Unknown,High,Queensland,1900-01-01
1064894,Unknown,Medium,Northern Territory,1900-01-01
1449894,Unknown,Medium,Tasmania,1900-01-01
5850094,Female,High,Queensland,1900-01-01
221094,Unknown,Low,New South Wales,1900-01-01
733894,Unknown,Medium,Western Australia,1900-01-01
4734404,Unknown,High,Australian Capital Territory,1900-01-01
352094,Unknown,High,Queensland,1900-01-01
749894,Unknown,Medium,Victoria,1900-01-01
1277994,Male,Low,New South Wales,1900-01-01
349094,Unknown,High,Northern Territory,1900-01-01
1436904,Unknown,High,Northern Territory,1900-01-01
183994,Unknown,High,Tasmania,1900-01-01
2831604,Unknown,Medium,Victoria,1900-01-01
933894,Unknown,High,Victoria,1900-01-01
307604,Unknown,High,Northern Territory,1900-01-01
295994,Female,Medium,Northern Territory,1900-01-01
670104,Unknown,Medium,Northern Territory,1900-01-01
1180994,Unknown,Low,New South Wales,1900-01-01
361504,Female,High,Victoria,1900-01-01
1082894,Unknown,High,Western Australia,1900-01-01
1574804,Unknown,High,Western Australia,1900-01-01
995994,Unknown,High,Victoria,1900-01-01
1549894,Unknown,High,Australian Capital Territory,1900-01-01
7095704,Unknown,High,Victoria,1900-01-01
724604,Unknown,Medium,Northern Territory,1900-01-01
71894,Unknown,High,Queensland,1900-01-01
817694,Unknown,High,Tasmania,1900-01-01
5933794,Unknown,High,Tasmania,1900-01-01
883994,Unknown,Medium,Australian Capital Territory,1900-01-01
152994,Unknown,Medium,Tasmania,1900-01-01
1008194,Unknown,Medium,Tasmania,1900-01-01
3842994,Unknown,High,Australian Capital Territory,1900-01-01
288694,Unknown,Medium,Tasmania,1900-01-01
3056104,Female,Medium,Tasmania,1900-01-01
87704,Unknown,High,Tasmania,1900-01-01
4260004,Unknown,High,Tasmania,1900-01-01
437794,Unknown,Medium,Australian Capital Territory,1900-01-01
441894,Unknown,Medium,Australian Capital Territory,1900-01-01
2756194,Unknown,High,Tasmania,1900-01-01
488694,Unknown,High,Victoria,1900-01-01
1419504,Unknown,High,Victoria,1900-01-01
1411094,Unknown,High,Northern Territory,1900-01-01
1068094,Unknown,High,Northern Territory,1900-01-01
325694,Male,Medium,Queensland,1900-01-01
103994,Unknown,Medium,Queensland,1900-01-01
4935994,Unknown,Medium,Queensland,1900-01-01
5547994,Unknown,High,South Australia,1900-01-01
699794,Unknown,Medium,Queensland,1900-01-01
1401094,Unknown,Medium,Queensland,1900-01-01
815694,Female,Medium,Queensland,1900-01-01
262894,Female,High,South Australia,1900-01-01
884804,Unknown,Medium,Australian Capital Territory,1900-01-01
6560094,Unknown,High,South Australia,1900-01-01
450804,Unknown,High,Australian Capital Territory,1900-01-01
424894,Male,Medium,Western Australia,1900-01-01
493994,Unknown,Medium,Queensland,1900-01-01
6221704,Unknown,Medium,Victoria,1900-01-01
1337194,Unknown,High,New South Wales,1900-01-01
19994,Unknown,High,Australian Capital Territory,1900-01-01
447794,Unknown,Medium,Victoria,1900-01-01
1199894,Unknown,High,South Australia,1900-01-01
736194,Unknown,Medium,Queensland,1900-01-01
67194,Unknown,Medium,New South Wales,1900-01-01
2315204,Unknown,High,New South Wales,1900-01-01
1147704,Unknown,High,Australian Capital Territory,1900-01-01
49094,Unknown,Medium,New South Wales,1900-01-01
734094,Unknown,High,South Australia,1900-01-01
8194,Unknown,High,South Australia,1900-01-01
1555894,Female,Medium,South Australia,1900-01-01
365894,Unknown,Medium,South Australia,1900-01-01
5671904,Unknown,Medium,New South Wales,1900-01-01
1105894,Unknown,High,Northern Territory,1900-01-01
606094,Unknown,Medium,New South Wales,1900-01-01
1574504,Female,Medium,Northern Territory,1900-01-01
885694,Unknown,High,Northern Territory,1900-01-01
970094,Unknown,High,Victoria,1900-01-01
8221094,Unknown,High,Queensland,1900-01-01
195694,Unknown,High,Queensland,1900-01-01
1560094,Unknown,Medium,New South Wales,1900-01-01
226194,Unknown,Medium,New South Wales,1900-01-01
343894,Unknown,High,Western Australia,1900-01-01
1037794,Unknown,High,Queensland,1900-01-01
1455894,Unknown,Medium,New South Wales,1900-01-01
