customer_id,gender,age,income_level,trad_revenue,trad_txn_count,mobile_revenue,mobile_txn_count,total_revenue
8164904,Unknown,35,Medium,90.0,1,9.4,1,99.4
7719404,Female,46,Medium,900.0,2,266.49,1,1166.49
1531804,Unknown,38,Medium,432.0,1,0,0,432.0
2045794,Unknown,26,Medium,120.0,1,2.54,1,122.54
5121804,Unknown,32,Medium,336.0,1,4.55,1,340.55
56504,Unknown,29,Medium,216.0,1,0,0,216.0
7344804,Unknown,32,Medium,384.0,1,7.17,1,391.17
7242904,Unknown,41,Medium,336.0,1,16.47,1,352.47
4664504,Unknown,43,Medium,769.0,7,15.72,1,784.72
4287304,Unknown,35,Medium,1632.0,2,186.38,1,1818.38
2584504,Unknown,61,Medium,624.0,1,12.81,1,636.81
265194,Unknown,21,Medium,0.0,0,0,0,0.0
1762504,Unknown,58,Medium,702.0,4,5.68,1,707.68
6670304,Unknown,45,Medium,732.0,2,50.92,1,782.92
1337794,Unknown,58,Medium,0.0,0,0,0,0.0
2477194,Unknown,46,Medium,0.0,0,59.62,1,59.62
2552894,Unknown,28,Medium,0.0,0,12.86,1,12.86
7480404,Unknown,28,Medium,242.0,3,14.13,1,256.13
4085404,Unknown,25,Medium,864.0,2,14.15,1,878.15
9461904,Unknown,21,Medium,0.0,0,368.41,1,368.41
3603404,Unknown,33,Medium,480.0,2,14.95,1,494.95
7404204,Unknown,45,Medium,60.0,2,74.09,1,134.09
7386404,Unknown,55,Medium,788.0,3,18.58,1,806.58
6911304,Unknown,36,Medium,480.0,1,5.97,1,485.97
6807894,Unknown,28,Medium,0.0,0,53.95,1,53.95
4012704,Male,61,Medium,96.0,2,5.52,1,101.52
7970794,Female,80,Medium,600.0,3,8.74,1,608.74
8359194,Unknown,34,Medium,140.0,1,245.66,1,385.65999999999997
2027304,Unknown,45,Medium,874.0,2,262.11,1,1136.1100000000001
6569004,Unknown,38,Medium,48.0,1,1.66,1,49.66
3063004,Unknown,31,Medium,240.0,1,4378.31,1,4618.31
7926804,Unknown,50,Medium,384.0,1,14.39,1,398.39
5505204,Unknown,60,Medium,48.0,1,10.03,1,58.03
9395694,Unknown,34,Medium,0.0,0,0.55,1,0.55
8157804,Unknown,20,Medium,360.0,2,12.81,1,372.81
7849894,Unknown,81,Medium,0.0,0,395.96,1,395.96
6819504,Unknown,29,Medium,712.0,3,19.63,1,731.63
3292404,Unknown,32,Medium,48.0,1,16.87,1,64.87
2322704,Unknown,30,Medium,338.0,2,10.44,1,348.44
6395704,Unknown,25,Medium,0.0,0,17.35,1,17.35
2357704,Unknown,28,Medium,96.0,2,4.19,1,100.19
5475194,Unknown,36,Medium,0.0,0,618.77,1,618.77
9204104,Unknown,32,Medium,144.0,1,15.32,1,159.32
451894,Unknown,33,Medium,0.0,0,0,0,0.0
1239804,Unknown,40,Medium,96.0,1,0,0,96.0
7252804,Female,26,Medium,394.0,2,16.66,1,410.66
9835994,Unknown,61,Medium,0.0,0,1670.7,1,1670.7
2779894,Unknown,24,Medium,0.0,0,10.08,1,10.08
6593894,Unknown,20,Medium,0.0,0,7.33,1,7.33
2562004,Unknown,28,Medium,202.0,2,9.78,1,211.78
942094,Unknown,53,Medium,10.0,1,0,0,10.0
393994,Unknown,53,Medium,15.0,2,0,0,15.0
1231104,Unknown,37,Medium,144.0,1,0,0,144.0
8646504,Unknown,48,Medium,649.0,4,8.2,1,657.2
1671004,Unknown,40,Medium,480.0,2,0.57,1,480.57
5795404,Unknown,22,Medium,420.0,2,1.66,1,421.66
9295794,Unknown,38,Medium,90.0,1,3256.73,1,3346.73
2838804,Unknown,33,Medium,96.0,1,12.02,1,108.02
5264904,Unknown,52,Medium,0.0,0,12.5,1,12.5
3522404,Unknown,42,Medium,856.0,2,2.9,1,858.9
9242504,Unknown,37,Medium,672.0,2,14.88,1,686.88
4592994,Unknown,27,Medium,0.0,0,14.18,1,14.18
735304,Unknown,32,Medium,560.0,2,0,0,560.0
3355404,Unknown,29,Medium,624.0,1,12.71,1,636.71
1956194,Unknown,31,Medium,0.0,0,8.63,1,8.63
5686404,Unknown,21,Medium,288.0,1,345.49,1,633.49
9045994,Female,54,Medium,0.0,0,13.67,1,13.67
5135304,Unknown,39,Medium,646.0,1,18.12,1,664.12
9815104,Unknown,21,Medium,96.0,1,6.47,1,102.47
3645304,Unknown,24,Medium,228.0,2,7.49,1,235.49
3067204,Unknown,25,Medium,0.0,0,19.37,1,19.37
4501804,Male,44,Medium,894.0,4,6.15,1,900.15
3255304,Unknown,21,Medium,528.0,3,15.9,1,543.9
4102804,Unknown,27,Medium,144.0,2,2.11,1,146.11
4540804,Unknown,34,Medium,118.0,2,4.27,1,122.27
3488704,Unknown,27,Medium,144.0,1,12.48,1,156.48
768504,Unknown,59,Medium,576.0,1,0,0,576.0
6232704,Unknown,32,Medium,1056.0,2,3.2,1,1059.2
488304,Unknown,42,Medium,682.0,2,0,0,682.0
2801994,Male,69,Medium,320.0,1,10.87,1,330.87
8375894,Unknown,54,Medium,10.0,1,11.83,1,21.83
5757304,Unknown,61,Medium,1059.0,7,5.02,1,1064.02
5511704,Male,23,Medium,132.0,1,7.81,1,139.81
5884504,Unknown,27,Medium,48.0,1,11.21,1,59.21
2324704,Unknown,35,Medium,576.0,2,15.55,1,591.55
6630804,Unknown,38,Medium,120.0,2,2.99,1,122.99
2929304,Unknown,21,Medium,192.0,1,9.23,1,201.23
6001604,Unknown,26,Medium,158.0,2,4.52,1,162.52
7005404,Unknown,27,Medium,384.0,1,2.61,1,386.61
4174804,Unknown,29,Medium,432.0,2,0.68,1,432.68
5361504,Unknown,51,Medium,504.0,1,17.56,1,521.56
3325104,Unknown,24,Medium,48.0,1,13.73,1,61.730000000000004
6174304,Unknown,22,Medium,650.0,3,1.83,1,651.83
637304,Unknown,49,Medium,0.0,0,0,0,0.0
1494104,Unknown,27,Medium,180.0,2,0,0,180.0
62904,Unknown,67,Medium,228.0,1,0,0,228.0
4593994,Unknown,41,Medium,30.0,3,3.75,1,33.75
6894204,Unknown,27,Medium,48.0,1,14.57,1,62.57
266004,Unknown,26,Medium,240.0,1,0,0,240.0
5366094,Unknown,33,Medium,0.0,0,11.34,1,11.34
1861204,Unknown,32,Medium,48.0,1,5.72,1,53.72
4698004,Unknown,26,Medium,96.0,2,6.84,1,102.84
4801804,Female,75,Medium,336.0,1,16.62,1,352.62
2221094,Female,24,Medium,0.0,0,17.08,1,17.08
3914894,Unknown,41,Medium,0.0,0,493.89,1,493.89
3685694,Unknown,72,Medium,0.0,0,15.56,1,15.56
1133504,Unknown,31,Medium,96.0,2,0,0,96.0
2262504,Female,36,Medium,672.0,1,7.3,1,679.3
3396704,Unknown,26,Medium,0.0,0,19.91,1,19.91
4586794,Male,78,Medium,0.0,0,5.75,1,5.75
8107694,Unknown,32,Medium,2910.0,6,178.63,1,3088.63
8809994,Unknown,35,Medium,0.0,0,4.18,1,4.18
7792404,Unknown,38,Medium,98.0,2,2.1,1,100.1
4954304,Female,29,Medium,376.0,2,12.49,1,388.49
304204,Unknown,21,Medium,0.0,0,0,0,0.0
3057794,Unknown,28,Medium,10.0,1,4.08,1,14.08
2811094,Unknown,37,Medium,40.0,1,16.69,1,56.69
5122104,Unknown,38,Medium,576.0,1,14.37,1,590.37
5101104,Unknown,38,Medium,144.0,1,0,1,144.0
5012404,Unknown,53,Medium,288.0,1,13.22,1,301.22
5322404,Unknown,40,Medium,384.0,1,11.09,1,395.09
1123804,Unknown,38,Medium,128.0,2,0,0,128.0
2090004,Unknown,57,Medium,144.0,1,12.3,1,156.3
4601704,Unknown,21,Medium,80.0,1,1,1,81.0
216804,Unknown,27,Medium,96.0,2,0,0,96.0
925104,Unknown,38,Medium,288.0,2,0,0,288.0
1982994,Unknown,28,Medium,0.0,0,13.63,1,13.63
9856504,Unknown,29,Medium,548.0,2,19.17,1,567.17
1758094,Unknown,27,Medium,0.0,0,17.4,1,17.4
5151804,Male,82,Medium,288.0,2,7.91,1,295.91
9015894,Unknown,65,Medium,0.0,0,0,1,0.0
582604,Unknown,69,Medium,192.0,1,0,0,192.0
6105804,Unknown,25,Medium,479.0,5,17.28,1,496.28
4461894,Unknown,28,Medium,0.0,0,279.69,1,279.69
6374504,Unknown,72,Medium,288.0,2,17.19,1,305.19
7045404,Unknown,27,Medium,48.0,1,16.77,1,64.77
4132804,Unknown,27,Medium,20.0,1,8.22,1,28.22
8853504,Unknown,26,Medium,672.0,1,16.54,1,688.54
605804,Unknown,20,Medium,316.0,5,0,0,316.0
5222104,Unknown,42,Medium,180.0,2,2.04,1,182.04
5664504,Unknown,41,Medium,644.0,3,17.8,1,661.8
7456194,Unknown,44,Medium,0.0,0,1.74,1,1.74
8596304,Unknown,23,Medium,60.0,2,9.34,1,69.34
6242994,Male,21,Medium,45.0,2,16.15,1,61.15
1079104,Unknown,59,Medium,96.0,1,0,0,96.0
1178704,Unknown,37,Medium,960.0,2,0,0,960.0
1694404,Unknown,39,Medium,624.0,1,14.77,1,638.77
5810804,Unknown,34,Medium,96.0,1,6.2,1,102.2
9573504,Male,28,Medium,1248.0,2,7.96,1,1255.96
9073704,Male,49,Medium,260.0,3,14.7,1,274.7
5049894,Female,61,Medium,0.0,0,15.08,1,15.08
1523894,Unknown,27,Medium,50.0,1,0,0,50.0
7209994,Unknown,32,Medium,0.0,0,12.12,1,12.12
