campaign_id,campaign_type,campaign_date,campaign_budget,trad_revenue_30d,mobile_revenue_30d,total_revenue_30d,roi_30d
6,SMS,2025-02-05,111.15,32280.25,46903.89,79184.14,712.40791722896984
17,SMS,2025-04-23,114.98,22570.0,40514.61,63084.61,548.65724473821535
37,Social Media,2024-09-10,119.91,56913.0,0,56913.0,474.63097322992246
15,Social Media,2025-04-09,197.71,21109.0,56146.11,77255.11,390.74963330129987
59,Direct Mail,2024-02-11,260.3,86613.0,0,86613.0,332.74298885900885
62,Social Media,2024-03-03,296.33,94280.0,0,94280.0,318.15880943542675
27,Email,2025-07-02,184.68,7414.0,43223.06,50637.06,274.18810916179336
72,Social Media,2024-05-12,270.6,74181.0,0,74181.0,274.13525498891352
1,Direct Mail,2025-01-01,300.6,45990.0,34900.3,80890.3,269.09614105123086
26,Email,2025-06-25,270.96,11407.0,50999.05,62406.05,230.31462208444054
63,SMS,2024-03-10,386.24,86601.0,0,86601.0,224.21551367025683
71,SMS,2024-05-05,333.73,71767.0,0,71767.0,215.04509633536091
43,Social Media,2024-10-22,230.79,49475.0,0,49475.0,214.37237315308289
44,Social Media,2024-10-29,277.61,56811.0,0,56811.0,204.64320449551528
74,SMS,2024-05-26,438.24,88539.0,0,88539.0,202.03313253012047
13,SMS,2025-03-26,362.42,23699.0,48045.9,71744.9,197.96065338557472
38,Social Media,2024-09-17,291.49,54571.0,0,54571.0,187.21396960444611
16,Direct Mail,2025-04-16,417.57,21926.0,52189.19,74115.19,177.49165409392438
53,Social Media,2024-12-31,457.04,46362.0,34021.44,80383.44,175.87834762821635
65,Social Media,2024-03-24,441.36,76752.0,0,76752.0,173.89885807504078
60,Social Media,2024-02-18,522.67,81619.0,0,81619.0,156.15780511603882
58,Email,2024-02-04,538.22,79015.0,0,79015.0,146.80799672996173
23,Direct Mail,2025-06-04,415.47,15213.0,45696.34,60909.34,146.60346114039518
70,SMS,2024-04-28,526.17,76066.0,0,76066.0,144.565444628162
66,Email,2024-03-31,432.12,61993.0,0,61993.0,143.46246413033415
64,SMS,2024-03-17,569.64,79476.0,0,79476.0,139.51969665051612
2,Direct Mail,2025-01-08,637.48,49387.25,36999.1,86386.35,135.51225136474869
49,Direct Mail,2024-12-03,556.04,66119.0,8586.63,74705.63,134.35297820300698
41,Email,2024-10-08,378.51,50834.0,0,50834.0,134.30028268737948
46,Direct Mail,2024-11-12,559.64,69459.0,0,69459.0,124.11371596026017
56,Email,2024-01-21,606.09,73404.0,0,73404.0,121.11072612978271
48,SMS,2024-11-26,663.7,77838.0,0,77838.0,117.27889106524032
57,SMS,2024-01-28,620.84,72579.0,0,72579.0,116.90451646156819
29,Direct Mail,2025-07-16,290.22,5621.0,26537.66,32158.66,110.80786989180621
73,Social Media,2024-05-19,640.12,70287.0,0,70287.0,109.80284946572517
28,SMS,2025-07-09,387.17,6034.0,35959.02,41993.02,108.46145104217784
52,Direct Mail,2024-12-24,613.51,40396.0,26068.15,66464.15,108.33425698032632
68,Social Media,2024-04-14,603.13,64876.0,0,64876.0,107.5655331354766
39,Direct Mail,2024-09-24,549.25,58443.0,0,58443.0,106.40509786071917
14,Email,2025-04-02,704.38,22209.0,51651.46,73860.459999999992,104.85882620176608
35,SMS,2024-08-27,587.85,59110.0,0,59110.0,100.55286212469167
40,Direct Mail,2024-10-01,512.01,50949.0,0,50949.0,99.507822112849354
61,SMS,2024-02-25,912.27,89497.0,0,89497.0,98.103631600293781
50,Direct Mail,2024-12-10,734.18,57293.0,14039.75,71332.75,97.159756462992732
47,Social Media,2024-11-19,796.9,76904.0,0,76904.0,96.503952817166521
51,Email,2024-12-17,761.81,49930.0,23355.85,73285.85,96.199642955592623
69,SMS,2024-04-21,729.14,70066.0,0,70066.0,96.0940285816167
10,Social Media,2025-03-05,708.19,29223.0,36250.58,65473.58,92.451997345345177
8,Social Media,2025-02-19,685.01,25401.0,37353.16,62754.16,91.610575028101792
55,SMS,2024-01-14,753.42,67466.0,0,67466.0,89.546335377345969
5,SMS,2025-01-29,800.66,35614.25,34655.03,70269.28,87.764194539504913
4,SMS,2025-01-22,915.48,41521.25,38636.66,80157.91,87.5583409795954
12,SMS,2025-03-19,784.27,27253.0,40503.94,67756.94,86.394915016512172
25,Email,2025-06-18,823.47,15224.0,55134.69,70358.69,85.44171615237957
45,Email,2024-11-05,707.36,59766.0,0,59766.0,84.491630852748244
24,Social Media,2025-06-11,771.18,14394.0,50623.28,65017.28,84.3088254363443
22,Social Media,2025-05-28,692.03,14738.0,42068.51,56806.51,82.086773694782025
3,Direct Mail,2025-01-15,999.87,45116.25,36516.04,81632.290000000008,81.642903577465077
54,SMS,2024-01-07,866.13,67188.0,0,67188.0,77.5726507568148
