customer_id,donation_id,donation_date,donation_end_date,donation_amount,product,channel_pay
9568704,12754670.3,2025-03-26,,5.0,Membership_TopUp,Bank Transfer
5191704,12807009.3,2025-08-18,,5.0,Membership_TopUp,Bank Transfer
863304,12682682.3,2024-12-03,,5.0,Membership_TopUp,Bank Transfer
9141504,12791114.3,2025-07-10,2025-07-11,10.0,Membership,Bank Transfer
562804,12761458.3,2025-04-04,2025-04-04,10.0,Membership,Bank Transfer
3364804,12745758.3,2025-03-10,2025-03-10,10.0,Membership,Bank Transfer
946194,12710223.3,2024-12-20,2024-12-20,10.0,Membership,Bank Transfer
2602404,12695295.3,2024-12-08,2024-12-08,10.0,Membership,Bank Transfer
7326304,12633163.3,2024-09-19,2024-09-19,10.0,Membership,Bank Transfer
766194,12605780.3,2024-08-23,2024-08-23,10.0,Membership,Bank Transfer
5236404,12598833.3,2024-08-12,2024-08-15,10.0,Membership,Bank Transfer
2126404,12811500.3,2025-08-21,2025-08-21,10.0,Membership,Bank Transfer
6318004,12776883.3,2025-05-06,,10.0,General_Donation,Bank Transfer
6363504,12720979.3,2025-02-07,2025-02-08,10.0,Membership,Bank Transfer
3174304,12634991.3,2024-09-19,2024-09-19,10.0,Membership,Bank Transfer
8642094,12806357.3,2025-08-18,,10.0,Membership_TopUp,Bank Transfer
268504,12765676.3,2025-04-11,2025-04-11,10.0,Membership,Bank Transfer
5809404,12666695.3,2024-11-28,2024-11-28,10.0,Membership,Bank Transfer
7505404,12607053.3,2024-08-26,2024-08-26,10.0,Membership,Bank Transfer
9550094,12514188.3,2024-02-14,2024-02-14,10.0,Membership,Bank Transfer
7319304,12792139.3,2025-07-12,2025-07-12,10.0,Membership,Bank Transfer
157094,12517015.3,2024-02-17,2024-02-17,10.0,Membership,Bank Transfer
8351504,12600042.3,2024-08-12,2024-08-15,10.0,Membership,Bank Transfer
1051894,12755532.3,2025-03-28,2025-03-28,10.0,Membership,Bank Transfer
8455894,12807290.3,2025-08-18,2025-08-18,10.0,Membership,Bank Transfer
5885694,12791389.3,2025-07-10,,10.0,Membership_TopUp,Bank Transfer
702794,12529228.3,2024-03-10,,10.0,General_Donation,Bank Transfer
3029504,12673696.3,2024-11-29,2024-11-29,10.0,Membership,Bank Transfer
8899404,12811923.3,2025-08-18,2025-08-22,10.0,Membership,Bank Transfer
7484704,12790416.3,2025-07-10,2025-07-11,10.0,Membership,Bank Transfer
1243504,12711925.3,2024-12-21,2024-12-21,10.0,Membership,Bank Transfer
4916194,12690252.3,2024-12-07,2024-12-07,10.0,Membership,Bank Transfer
2085404,12653499.3,2024-11-05,2024-11-06,10.0,Membership,Bank Transfer
7935304,12647584.3,2024-10-09,,10.0,General_Donation,Bank Transfer
1193504,12674949.3,2024-11-30,2024-11-30,10.0,Membership,Bank Transfer
3174304,12672472.3,2024-11-29,2024-11-29,10.0,Membership,Bank Transfer
691704,12752500.3,2025-03-21,2025-03-21,10.0,Membership,Bank Transfer
6877604,12695610.3,2024-12-08,2024-12-08,10.0,Membership,Bank Transfer
731904,1263422.1,2025-07-24,,10.0,General_Donation,Bank Transfer
5694804,12748379.3,2025-03-15,2025-03-15,10.0,Membership,Bank Transfer
3135404,12710765.3,2024-12-20,2024-12-20,10.0,Membership,Bank Transfer
6910504,12663713.3,2024-11-22,2024-11-22,10.0,Membership,Bank Transfer
4525304,12608874.3,2024-08-26,2024-08-26,10.0,Membership,Bank Transfer
6587804,1263187.1,2025-07-18,,10.0,General_Donation,Bank Transfer
2103994,12720056.3,2025-02-07,2025-02-08,10.0,Membership,Bank Transfer
8774194,12657867.3,2024-11-04,2024-11-07,10.0,Membership,Bank Transfer
7851504,12634487.3,2024-09-19,2024-09-19,10.0,Membership,Bank Transfer
6013404,12808333.3,2025-08-18,2025-08-18,10.0,Membership,Bank Transfer
5757304,12793578.3,2025-07-14,2025-07-14,10.0,Membership,Bank Transfer
3020804,12747483.3,2025-03-14,2025-03-14,10.0,Membership,Bank Transfer
5385404,12656464.3,2024-11-04,2024-11-07,10.0,Membership,Bank Transfer
6363504,12635582.3,2024-09-20,2024-09-20,10.0,Membership,Bank Transfer
5946194,12791897.3,2025-07-12,,10.0,Membership_TopUp,Bank Transfer
4664504,12677224.3,2024-12-01,2024-12-01,10.0,Membership,Bank Transfer
4135404,12610960.3,2024-08-29,2024-08-29,10.0,Membership,Bank Transfer
4478194,12568649.3,2024-04-28,2024-04-28,10.0,Membership,Bank Transfer
6844804,12750589.3,2025-03-16,2025-03-16,10.0,Membership,Bank Transfer
2658094,12739357.3,2025-03-05,2025-03-05,10.0,Membership,Bank Transfer
4412994,1263802.1,2025-08-03,,10.0,General_Donation,Bank Transfer
4984504,12595656.3,2024-08-01,,10.0,General_Donation,Bank Transfer
843094,12795308.3,2025-07-20,2025-07-20,10.0,Membership,Bank Transfer
7784504,12744314.3,2025-03-09,2025-03-09,10.0,Membership,Bank Transfer
971504,12721877.3,2025-02-07,2025-02-08,10.0,Membership,Bank Transfer
8351504,12660447.3,2024-11-11,2024-11-11,10.0,Membership,Bank Transfer
1677194,12608223.3,2024-08-26,2024-08-26,10.0,Membership,Bank Transfer
646504,12761678.3,2025-04-04,,10.0,Membership_TopUp,Bank Transfer
170094,12597221.3,2024-08-13,2024-08-14,10.0,Membership,Bank Transfer
4268304,12601027.3,2024-08-12,2024-08-15,10.0,Membership,Bank Transfer
1942094,12506501.3,2024-02-03,2024-02-03,10.0,Membership,Bank Transfer
8455894,12742436.3,2025-03-08,2025-03-08,10.0,Membership,Bank Transfer
8445194,12707931.3,2024-12-16,2024-12-16,10.0,Membership,Bank Transfer
3722304,12652942.3,2024-11-05,2024-11-06,10.0,Membership,Bank Transfer
3133094,12733911.3,2025-02-22,2025-02-22,10.0,Membership,Bank Transfer
6421304,12504401.3,2024-01-20,,10.0,General_Donation,Bank Transfer
854504,12807771.3,2025-08-18,2025-08-18,10.0,Membership,Bank Transfer
3302604,12755205.3,2025-03-28,2025-03-28,10.0,Membership,Bank Transfer
